推荐顺位,统一社会信用代码,公司名称,企业标准名,所属城市,所属区县,企业类型标签,产业链环节,模型推荐分数,模型预测标签,当前样本标签,天眼评分,企业规模,参保人数,注册资本,上游关键词命中数,中游关键词命中数,下游关键词命中数,panel_patent_growth,panel_patent_avg,panel_years_covered,推荐理由,建议动作,产业链判定依据,经营范围,企业简介,官网
11,91440300306077254B,深圳市道通智能航空技术股份有限公司,深圳市道通智能航空技术股份有限公司,深圳市,南山区,服务平台类,中游,0.996975,是,是,,大型,0,36557.5425万人民币,,,,216.0,178.2,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为36557.5425万人民币；近年创新活动呈上升趋势,纳入候选白名单并进入图谱人工核验,飞行器、航空、智能无人飞行器、航空器,一般经营项目：民用航空电子设备、自动控制设备、民用无人驾驶航空器、无线电数据传输系统、拍摄装备、摄像机产品、电子元器件、计算机软件应用的技术开发、批发；经营进出口业务；软件技术信息咨询; 房屋租赁，物业管理，水电暖供应，通信管网出租及维护。智能无人飞行器制造；智能无人飞行器销售；信息技术咨询服务。租赁服务（不含许可类租赁服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：民用航空电子设备、自动控制设备、民用无人驾驶航空器、无线电数据传输系统、拍摄装备、摄像机产品、电子元器件、计算机软件的生产 。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,深圳市道通智能航空技术股份有限公司 (曾用名：深圳市道通智能航空技术有限公司) ，成立于2014年，道通科技成员，位于广东省深圳市，是一家以从事批发业为主的企业。企业注册资本36557.5425万人民币，超过了99%的广东省同行，实缴资本15908.3536万人民币，并已于2021年完成了Pre-IPO。,https://www.autelrobotics.com
12,914403007787549030,深圳市好盈科技股份有限公司,深圳市好盈科技股份有限公司,深圳市,龙岗区,投资发展类,中游,0.996951,是,是,,中型,406,5855万人民币,,,,243.0,25.2,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为5855万人民币；参保人数达到406人,纳入候选白名单并进入图谱人工核验,飞行器、智能无人飞行器、控制系统,电子控制产品的技术开发及销售；投资兴办实业（具体项目另行申报）；经营进出口业务。电子元器件与机电组件设备销售；智能无人飞行器销售；智能无人飞行器制造；电机制造；电机及其控制系统研发；微特电机及组件制造；计算机软硬件及外围设备制造；智能家庭消费设备制造；非公路休闲车及零配件制造；工业自动控制系统装置制造；电力电子元器件制造；专用设备制造（不含许可类专业设备制造）。户外用品销售；体育消费用智能设备制造；体育用品及器材制造；体育用品及器材批发；体育用品及器材零售；体育用品设备出租；娱乐船和运动船销售；娱乐船和运动船制造；机械设备研发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,深圳市好盈科技股份有限公司 (曾用名：深圳市好盈科技有限公司) ，成立于2005年，好盈科技成员，位于广东省深圳市，是一家以从事计算机、通信和其他电子设备制造业为主的企业。企业注册资本5855万人民币，超过了98%的广东省同行，实缴资本5855万人民币，并已于2022年完成了B轮。,https://www.hobbywing.com
13,91440101734916755P,广东电网有限责任公司广州供电局,广东电网有限责任公司广州供电局,广州市,天河区,投资发展类,下游,0.995652,是,是,,-,0,-,,,,378.0,59.4,27.0,位于广州市低空经济活跃区域；处于下游环节；注册资本为-；近年创新活动呈上升趋势,纳入候选白名单并进入图谱人工核验,服务,送变电工程专业承包;电力电子技术服务;信息技术咨询服务;电气设备零售;电力输送设施安装工程服务;建筑物电力系统安装;电工器材零售;企业自有资金投资;电力供应;承装（修、试）电力设施,广东电网有限责任公司广州供电局 (曾用名：广东电网公司广州供电局) ，成立于2002年，位于广东省广州市，是一家以从事电力、热力生产和供应业为主的企业。,-
14,91440115734926603P,广州市华科尔科技股份有限公司,广州市华科尔科技股份有限公司,广州市,南沙区,服务平台类,中游,0.995461,是,是,,中型,158,2688.88万人民币,,,,162.0,25.2,27.0,位于广州市低空经济活跃区域；处于中游环节；注册资本为2688.88万人民币；参保人数达到158人,纳入候选白名单并进入图谱人工核验,无人机、航空,消防车辆销售;无人机软硬件的技术开发、应用;电子、通信与自动控制技术研究、开发;航空模拟机飞行模拟训练相关软件的销售;无人机的销售;货物进出口（专营专控商品除外）;销售本公司生产的产品（国家法律法规禁止经营的项目除外；涉及许可经营的产品需取得许可证后方可经营）;智能机器系统销售;机器人系统销售;智能机器销售;玩具批发;计算机批发;计算机零配件批发;软件批发;消防设备、器材的批发;航空模拟机租赁;软件开发;数字动漫制作;游戏软件设计制作;消防设备、器材的制造;民用无人机制造（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）;微电机及其他电机制造;机器人系统生产;智能机器系统生产;信息技术咨询服务;软件测试服务;农业机械服务;林业机械服务;滑翔机批发;航空模型批发;礼仪电子用品制造;普通劳动防护用品制造;,广州市华科尔科技股份有限公司 (曾用名：广州市华科尔科技有限公司) ，成立于2001年，位于广东省广州市，是一家以从事研究和试验发展为主的企业。企业注册资本2688.88万人民币，超过了96%的广东省同行，实缴资本2688.88万人民币。,http://www.walkera.com
15,91440300319491403H,哈瓦国际航空技术(深圳)有限公司,哈瓦国际航空技术(深圳)有限公司,深圳市,龙华区,服务平台类,中游,0.994348,是,是,,小型,70,3510.1885万人民币,,,,0.0,23.4,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为3510.1885万人民币,纳入候选白名单并进入图谱人工核验,无人机、航空、航空器、测绘、遥感,无人机控制系统、智能任务载荷吊舱云台系统、机器人控制系统、北斗、GPS应用系统、无线图像传输系统、无人控制系统、无人驾驶航空器、航拍影视器材、航空电子设备、计算机软件、计算机及测量仪器仪表、人工智能设备、警用装备器材、消防设备器材的开发、销售、技术服务；测绘航空摄影、摄影测量与遥感、通信与自动控制技术、信息系统集成开发、销售、技术服务，并为行业客户提供数据应用及系统解决方案；无人机驾驶培训（仅限兴趣培训；不含学历教育、学科类培训及职业技能培训，法律、行政法规及国务院规定需办理审批的，审批后方可经营）；国内贸易；经营进出口业务。（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）。无人机控制系统、智能任务载荷吊舱云台系统、机器人控制系统、北斗、GPS 应用系统、无线图像传输系统、无人控制系统无人驾驶航空器、航拍影视器材、航空电子设备、计算机软件、警用装备器材、消防设备器材、人工智能设备的研发与生产。租赁服务（不含许可类租赁服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）^广播电视节目制作经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,哈瓦国际航空技术（深圳）有限公司，成立于2014年，位于广东省深圳市，是一家以从事计算机、通信和其他电子设备制造业为主的企业。企业注册资本3510.1885万人民币，超过了97%的广东省同行，实缴资本3210.1885万人民币，并已于2017年完成了A轮。,http://www.harwar.com/index.html
16,91440300MA5FA4QL2L,丰翼科技(深圳)有限公司,丰翼科技(深圳)有限公司,深圳市,宝安区,服务平台类,中游,0.993984,是,是,,小型,135,4285.7144万人民币,,,,0.0,70.2,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为4285.7144万人民币；参保人数达到135人,纳入候选白名单并进入图谱人工核验,无人机、飞行器、航空、智能无人飞行器、航空器,一般经营项目：计算机软件研发；系统集成的技术转让，技术咨询，技术服务；销售电子产品；无人机研发、销售、租赁及上门维修，经营进出口业务（以上法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。软件开发；信息系统集成服务；电子产品销售；智能无人飞行器销售；智能输配电及控制设备销售；人工智能行业应用系统集成服务；人工智能应用软件开发；人工智能硬件销售；智能机器人的研发；智能物料搬运装备销售；工业机器人销售；仓储设备租赁服务；供应链管理服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：生产计算机软件；电子产品，无人机的生产。工业机器人安装、维修；普通货物仓储服务（不含危险化学品等需许可审批的项目）；工业机器人制造；智能无人飞行器制造；输配电及控制设备制造；通用航空服务；技术进出口；快递服务；民用航空器零部件设计和生产；民用航空器（发动机、螺旋桨）生产；汽车销售。第二类增值电信业务；民用航空器驾驶员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,丰翼科技（深圳）有限公司，成立于2018年，顺丰控股成员，位于广东省深圳市，是一家以从事铁路、船舶、航空航天和其他运输设备制造业为主的企业。企业注册资本4285.7144万人民币，超过了98%的广东省同行，实缴资本4285.7144万人民币，并已于2025年完成了股权转让。,http://www.fyuav.cn
17,91440300319512147W,深圳市喜悦智慧数据有限公司,深圳市喜悦智慧数据有限公司,深圳市,龙华区,产业运营类,中游,0.993908,是,是,75,,,,,,,135.0,10.8,27.0,位于深圳市低空经济活跃区域；处于中游环节；企业综合基础较好；近年创新活动呈上升趋势,纳入候选白名单并进入图谱人工核验,系统集成,一般经营项目：大数据系统开发与运营；人工智能系统的开发与销售；机器人产品技术开发与销售；网路硬件产品的开发与销售；人力资源系统软件的技术开发与销售；计算机软件、信息系统软件的开发与销售；信息系统设计、集成、运行维护；信息技术咨询。信息系统集成服务；人工智能理论与算法软件开发；人工智能应用软件开发；人工智能硬件销售；智能机器人的研发；集成电路设计；物联网技术研发；物联网技术服务；工业互联网数据服务；云计算装备技术服务；数据处理和存储支持服务；碳减排、碳转化、碳捕捉、碳封存技术研发。融资咨询服务；不动产登记代理服务；非融资担保服务；社会经济咨询服务；安全咨询服务；信息咨询服务（不含许可类信息咨询服务）；财务咨询；税务服务；咨询策划服务；招投标代理服务；工程管理服务。劳务服务（不含劳务派遣）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：机器人产品的生产；网路硬件产品的生产。认证服务；建筑智能化系统设计。资产评估。建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,,
18,914401065937484197,广东新禾智慧数字科技有限公司,广东新禾智慧数字科技有限公司,广州市,黄埔区,产业运营类,中游,0.993739,是,是,77,,,,,,,27.0,1.8,27.0,位于广州市低空经济活跃区域；处于中游环节；企业综合基础较好；近年创新活动呈上升趋势,纳入候选白名单并进入图谱人工核验,飞行器、智能无人飞行器、测绘、遥感、系统集成,工程和技术研究和试验发展;自然科学研究和试验发展;地理遥感信息服务;大数据服务;软件开发;信息系统集成服务;数据处理和存储支持服务;软件外包服务;网络与信息安全软件开发;安全技术防范系统设计施工服务;导航、测绘、气象及海洋专用仪器销售;卫星遥感数据处理;卫星遥感应用系统集成;计算机软硬件及辅助设备零售;物联网技术研发;人工智能应用软件开发;计算机系统服务;信息技术咨询服务;信息系统运行维护服务;物联网技术服务;卫星技术综合应用系统集成;卫星导航多模增强应用服务系统集成;智能控制系统集成;数字文化创意软件开发;与农业生产经营有关的技术、信息、设施建设运营等服务;网络技术服务;数字内容制作服务（不含出版发行）;人工智能行业应用系统集成服务;人工智能通用应用系统;人工智能基础资源与技术平台;物联网应用服务;区块链技术相关软件和服务;互联网安全服务;数据处理服务;互联网数据服务;计量服务;生态资源监测;规划设计管理;地质勘查技术服务;气象观测服务;气象信息服务;海洋服务;海洋环境服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;科技中介服务;新材料技术推广服务;科普宣传服务;自然生态系统保护管理;生态保护区管理服务;大气环境污染防治服务;土壤污染治理与修复服务;土壤环境污染防治服务;农业面源和重金属污染防治技术服务;环境应急治理服务;环境卫生公共设施安装服务;消防技术服务;城市公园管理;城乡市容管理;环境卫生管理（不含环境质量监测，污染源检查，城市生活垃圾、建筑垃圾、餐厨垃圾的处置服务）;森林公园管理;水资源管理;游览景区管理;城市绿化管理;水利情报收集服务;会议及展览服务;包装服务;图文设计制作;打字复印;项目策划与公关服务;社会调查（不含涉外调查）;市场调查（不含涉外调查）;信息咨询服务（不含许可类信息咨询服务）;社会经济咨询服务;环保咨询服务;仪器仪表销售;办公设备销售;电子产品销售;地质勘探和地震专用仪器销售;导航终端销售;集成电路销售;计算器设备销售;软件销售;信息安全设备销售;网络设备销售;卫星移动通信终端销售;智能无人飞行器制造;智能无人飞行器销售;通信设备销售;通信设备制造;农业机械服务;林业机械服务;农业生产托管服务;渔业机械服务;农作物病虫害防治服务;森林防火服务;林业有害生物防治服务;雷达及配套设备制造;智能车载设备制造;智能车载设备销售;智能物料搬运装备销售;物料搬运装备制造;数字文化创意技术装备销售;虚拟现实设备制造;业务培训（不含教育培训、职业技能培训等需取得许可的培训）;数字技术服务;云计算设备制造;云计算设备销售;安全系统监控服务;互联网设备销售;物联网设备销售;数字家庭产品制造;信息安全设备制造;光学仪器销售;房地产评估;企业形象策划;安全咨询服务;社会稳定风险评估;计算机及办公设备维修;3D打印服务;广告设计、代理;广告制作;水污染治理;大气污染治理;噪声与振动控制服务;光污染治理服务;室内空气污染治理;承接档案服务外包;测绘服务;国土空间规划编制;,,
19,91440116MA59AB9P0B,亿航智能设备有限公司,亿航智能设备有限公司,广州市,黄埔区,产业运营类,中游,0.991951,是,是,,中型,383,100000万人民币,,,,324.0,66.6,27.0,位于广州市低空经济活跃区域；处于中游环节；注册资本为100000万人民币；参保人数达到383人,纳入候选白名单并进入图谱人工核验,无人机、航空、航天、航空器、系统集成,自然科学研究和试验发展;信息系统集成服务;通信终端设备制造;数据处理和存储服务;交通运输咨询服务;工业自动控制系统装置制造;民用无人机制造（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）;无人机的销售;民用无人机探测系统销售;民用无人机管控系统销售;民用无人机管控设备销售;无人机软硬件的技术开发、应用;民用无人机探测系统研发;民用无人机管控系统研发;民用无人机管控设备研发;航空模拟机飞行模拟训练相关软件的开发;空中运输设备租赁服务;软件产品开发、生产;货物进出口(涉及外资准入特别管理规定和许可审批的商品除外);通信设施安装工程服务;通信线路和设备的安装;通信系统工程服务;通信设备零售;通信系统设备产品设计;从事通信网络、通信及相关设备的维护或维修、优化（不涉及线路管道铺设等工程施工）;计算机零配件零售;航空技术咨询服务;电工机械专用设备制造;通信技术研究开发、技术服务;商品信息咨询服务;电子、通信与自动控制技术研究、开发;信息电子技术服务;信息技术咨询服务;软件服务;技术进出口;模型设计服务;电子产品设计服务;计算机技术开发、技术服务;电子元器件零售;电子产品零售;电子产品批发;民用航空机载设备设计与制造;航空、航天相关设备制造;航空发动机及零部件、航空辅助动力系统设计、制造与维修;航空地面设备制造：民用机场设施、民用机场运行保障设备、飞行试验地面设备、飞行模拟与训练设备、航空测试与计量设备、航空地面试验设备、机载设备综合测试设备、航空制造专用设备、航空材料试制专用设备、民用航空器地面接收及应用设备、运载火箭地面测试设备、运载火箭力学及环境实验设备;航空器零件制造,亿航智能设备有限公司，成立于2015年，亿航设备成员，位于广东省广州市，是一家以从事专用设备制造业为主的企业。企业注册资本100000万人民币，超过了99%的广东省同行，实缴资本88800万人民币。,https://www.ehang.com
20,91440300MA5G0YNU5T,美团科技有限公司,美团科技有限公司,深圳市,龙华区,服务平台类,中游,0.991906,是,是,,大型,388,30000万人民币,,,,81.0,19.8,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为30000万人民币；参保人数达到388人,纳入候选白名单并进入图谱人工核验,系统集成,一般经营项目：计算机软件技、网络技术研发。计算机系统集成；企业形象策划、展览展示策划、会务服务、企业管理咨询、商务信息咨询、经济信息咨询、市场营销策划（不含市场调查、社会调查、资信调查等国家限制类、禁止类项目）销售自行开发的软件产品;计算机硬件及其配套设备的批发、零售、佣金代理（不含拍卖）、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）;从事广告业务;供应链管理;普通货运。以上经营范围不含国家规定实施准入特别管理措施的项目，涉及备案许可资质的需取得相关证件后方可实际经营。许可经营项目：无。,美团科技有限公司，成立于2019年，美团成员，位于广东省深圳市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本30000万人民币，超过了99%的广东省同行。,-
